1,197,0,70,0
2,850,0,305,0
3,204,0,75,0
4,630,1,196,1
5,1031,0,364,1
6,557,0,202,1
7,851,0,300,1
8,1091,0,388,1
9,787,0,276,1
10,590,0,213,1
11,538,0,193,1
12,634,0,231,1
13,488,0,175,1
14,437,0,156,1
15,480,0,175,1
16,718,0,263,1
17,898,0,319,1
18,296,0,107,1
19,777,0,278,1
20,213,0,80,1
21,668,1,218,1
22,477,0,172,1
23,98,0,39,1
24,1106,0,387,1
25,443,0,162,1
26,912,1,292,1
27,693,0,250,1
28,340,0,123,1
29,652,1,206,1
30,267,0,96,1
31,410,0,149,1
32,742,0,263,1
33,636,0,233,1
34,259,0,94,1
35,213,0,82,1
36,192,0,71,1
37,821,0,290,1
38,606,1,188,1
39,585,0,216,1
40,300,0,109,1
41,350,0,125,1
42,804,0,291,1
43,1606,0,577,1
44,312,1,82,1
45,245,0,94,1
46,133,0,52,1
47,751,1,239,1
48,509,0,178,1
49,1037,1,355,1
50,132,0,49,1
51,508,0,189,1
52,399,0,142,1
53,192,0,73,1
54,285,0,106,1
55,144,0,55,1
56,491,0,180,1
57,255,0,94,1
58,279,0,102,1
59,283,0,102,1
60,193,0,70,1
61,1371,0,496,1
