1,4204,26,566,26
2,3204,20,432,26
3,5877,36,813,36
4,5149,32,687,36
5,7335,45,1008,45
6,16177,90,2569,90
7,6688,41,925,90
8,12683,73,1892,90
9,2147,12,333,90
10,7915,47,1138,90
11,9838,56,1508,90
12,8347,47,1306,90
13,13494,74,2150,90
14,8158,47,1221,90
15,11011,64,1631,90
16,10321,62,1491,90
17,2154,14,272,90
18,4836,29,687,90
19,3031,17,466,90
20,6905,42,957,90
21,9436,56,1360,90
22,5099,30,737,90
23,7668,45,1109,90
24,11105,63,1696,90
25,4319,25,638,90
26,4452,26,650,90
27,2159,14,273,90
28,6260,35,965,90
29,17936,98,2944,98
30,6363,39,876,98
31,5517,34,755,98
32,9489,56,1385,98
33,7876,46,1150,98
34,10025,59,1496,98
35,7824,45,1167,98
36,7854,46,1158,98
37,9780,56,1484,98
38,7806,47,1105,98
39,7416,48,934,98
40,15603,84,2567,98
41,10347,62,1495,98
42,11801,65,1862,98
43,8567,50,1265,98
44,8074,48,1174,98
45,8788,51,1297,98
46,6484,40,878,98
47,7173,41,1074,98
48,11094,61,1787,98
49,11469,65,1748,98
50,4169,24,619,98
51,15214,80,2550,98
52,7580,42,1180,98
53,10452,61,1541,98
54,8762,55,1165,98
55,7196,43,1019,98
56,13678,74,2232,98
57,7375,45,1026,98
58,12532,72,1900,98
59,7760,44,1172,98
60,8971,52,1323,98
61,2611,17,326,98
62,1901,12,251,98
63,4771,28,693,98
64,3403,20,493,98
65,10614,59,1673,98
66,8987,51,1358,98
67,9100,53,1347,98
68,3110,18,460,98
69,6688,39,979,98
70,7649,45,1120,98
71,6367,39,878,98
72,5745,33,856,98
73,2802,16,422,98
74,8515,49,1264,98
75,6257,37,898,98
76,4603,30,577,98
77,13167,73,2124,98
78,7107,41,1066,98
79,11000,62,1706,98
80,4742,27,719,98
81,3987,25,528,98
82,5903,35,846,98
83,2513,15,358,98
84,11539,65,1800,98
85,5036,28,782,98
86,6440,36,998,98
87,7802,43,1229,98
88,5401,32,779,98
89,13311,77,1984,98
90,14929,85,2276,98
91,3043,19,406,98
92,5054,30,724,98
93,4571,27,658,98
94,6240,36,934,98
95,7182,42,1048,98
96,7000,43,969,98
97,9760,56,1494,98
98,5809,34,855,98
99,11176,62,1738,98
100,9626,56,1410,98
